red_player_cards,blue_player_cards,war
45,63,false
44,64,false
45,63,false
35,73,true
34,74,false
35,73,false
36,72,false
35,73,false
36,72,false
35,73,false
36,72,false
35,73,false
39,69,true
38,70,false
39,69,false
38,70,false
37,71,false
36,72,false
37,71,false
38,70,false
39,69,false
40,68,false
39,69,false
40,68,false
41,67,false
37,71,true
41,67,true
40,68,false
36,72,true
35,73,false
36,72,false
37,71,false
36,72,false
37,71,false
36,72,false
37,71,false
36,72,false
35,73,false
36,72,false
37,71,false
36,72,false
37,71,false
38,70,false
39,69,false
38,70,false
37,71,false
36,72,false
35,73,false
34,74,false
35,73,false
34,74,false
33,75,false
34,74,false
33,75,false
37,71,true
38,70,false
39,69,false
40,68,false
41,67,false
42,66,false
41,67,false
40,68,false
41,67,false
40,68,false
41,67,false
40,68,false
41,67,false
42,66,false
43,65,false
44,64,false
43,65,false
44,64,false
43,65,false
47,61,true
48,60,false
49,59,false
50,58,false
51,57,false
52,56,false
53,55,false
54,54,false
55,53,false
54,54,false
55,53,false
54,54,false
53,55,false
52,56,false
51,57,false
52,56,false
53,55,false
52,56,false
51,57,false
52,56,false
51,57,false
50,58,false
49,59,false
50,58,false
49,59,false
50,58,false
51,57,false
50,58,false
51,57,false
50,58,false
49,59,false
48,60,false
52,56,true
56,52,true
57,51,false
58,50,false
59,49,false
60,48,false
61,47,false
60,48,false
61,47,false
60,48,false
59,49,false
58,50,false
59,49,false
60,48,false
61,47,false
62,46,false
61,47,false
62,46,false
61,47,false
68,40,true
69,39,false
70,38,false
71,37,false
70,38,false
71,37,false
70,38,false
71,37,false
67,41,true
68,40,false
67,41,false
68,40,false
69,39,false
70,38,false
71,37,false
67,41,true
68,40,false
69,39,false
68,40,false
69,39,false
70,38,false
69,39,false
70,38,false
69,39,false
68,40,false
67,41,false
66,42,false
67,41,false
66,42,false
65,43,false
64,44,false
65,43,false
66,42,false
65,43,false
66,42,false
65,43,false
64,44,false
65,43,false
64,44,false
65,43,false
64,44,false
65,43,false
66,42,false
65,43,false
69,39,true
70,38,false
71,37,false
72,36,false
71,37,false
70,38,false
71,37,false
75,33,true
76,32,false
75,33,false
74,34,false
75,33,false
74,34,false
75,33,false
74,34,false
75,33,false
74,34,false
75,33,false
71,37,true
70,38,false
71,37,false
72,36,false
71,37,false
72,36,false
71,37,false
72,36,false
71,37,false
72,36,false
73,35,false
72,36,false
76,32,true
77,31,false
78,30,false
79,29,false
80,28,false
81,27,false
80,28,false
79,29,false
78,30,false
79,29,false
83,25,true
82,26,false
83,25,false
84,24,false
83,25,false
82,26,false
83,25,false
84,24,false
83,25,false
82,26,false
81,27,false
80,28,false
79,29,false
78,30,false
77,31,false
78,30,false
77,31,false
76,32,false
77,31,false
76,32,false
75,33,false
74,34,false
75,33,false
76,32,false
75,33,false
76,32,false
77,31,false
76,32,false
77,31,false
76,32,false
75,33,false
76,32,false
75,33,false
74,34,false
75,33,false
76,32,false
75,33,false
76,32,false
77,31,false
76,32,false
77,31,false
76,32,false
69,39,true
68,40,false
69,39,false
70,38,false
69,39,false
68,40,false
69,39,false
68,40,false
67,41,false
66,42,false
67,41,false
68,40,false
69,39,false
70,38,false
71,37,false
70,38,false
69,39,false
70,38,false
69,39,false
70,38,false
71,37,false
72,36,false
73,35,false
74,34,false
75,33,false
76,32,false
77,31,false
78,30,false
77,31,false
78,30,false
79,29,false
80,28,false
81,27,false
82,26,false
81,27,false
82,26,false
81,27,false
82,26,false
83,25,false
84,24,false
83,25,false
82,26,false
83,25,false
82,26,false
78,30,true
79,29,false
80,28,false
81,27,false
82,26,false
83,25,false
82,26,false
